true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,request,restart,thankyou
ack,0,0,1,0,0,0,3,0,2,0,0,1,0,0
affirm,0,62,0,0,0,0,2,0,0,0,0,1,0,0
bye,0,0,19,1,0,0,0,0,2,0,0,0,0,18
confirm,0,0,0,31,0,0,3,0,1,0,0,0,0,0
deny,0,0,0,0,1,0,14,0,0,0,1,0,0,0
hello,0,0,0,0,0,30,2,0,0,0,0,0,0,0
inform,0,0,0,1,0,0,1491,0,7,0,20,1,0,1
negate,0,0,0,0,0,0,0,37,0,0,0,0,0,0
null,0,0,1,1,0,1,46,0,21,0,2,2,0,0
repeat,0,0,0,0,0,0,0,0,0,10,0,1,0,0
reqalts,0,0,0,0,0,0,6,1,2,0,624,0,0,0
request,0,0,0,4,0,0,102,1,7,0,0,1099,0,0
restart,0,0,0,0,0,0,0,0,0,0,0,0,3,0
thankyou,0,0,3,0,0,0,0,0,0,0,0,0,0,155
