true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
affirm,0,167,0,0,0,0,2,0,0,0,0,0,1,0,0
bye,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3
confirm,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0
deny,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
inform,0,2,0,1,0,0,1382,0,4,0,5,0,3,0,1
negate,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0
null,1,0,0,0,1,0,10,0,216,0,3,0,5,0,0
repeat,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
reqalts,0,0,0,0,0,0,5,0,1,0,239,0,0,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
request,0,0,0,1,0,0,1,0,1,0,0,0,931,0,0
restart,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,1,0,486
