true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0
affirm,0,15,0,0,0,0,48,0,0,0,0,0,2,0,0
bye,0,0,0,1,0,0,0,0,15,0,0,0,0,0,24
confirm,0,0,0,25,0,0,6,0,0,0,1,0,3,0,0
deny,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,27,5,0,0,0,0,0,0,0,0
inform,0,0,0,0,0,0,1495,0,10,0,14,0,1,0,1
negate,0,0,0,0,0,0,4,30,0,0,2,0,0,0,1
null,0,0,0,0,0,1,57,0,7,0,3,0,6,0,0
repeat,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0
reqalts,0,0,0,0,0,0,14,1,0,0,616,0,2,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
request,0,0,0,4,0,0,21,1,4,0,0,0,1183,0,0
restart,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
thankyou,0,0,2,0,0,0,2,0,0,0,0,0,0,0,154
