true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
affirm,0,160,0,0,0,0,9,0,0,0,0,0,1,0,0
bye,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5
confirm,0,0,0,19,0,0,4,0,0,0,0,0,0,0,0
deny,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0
inform,0,1,0,0,0,0,1382,0,2,0,8,0,4,0,1
negate,0,0,0,0,0,0,3,58,0,0,1,0,0,0,1
null,0,0,0,1,0,0,26,0,197,0,3,0,9,0,0
repeat,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0
reqalts,0,0,0,0,0,0,6,0,0,0,237,0,2,0,0
reqmore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
request,0,0,0,1,0,0,3,0,1,0,0,0,929,0,0
restart,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,1,0,486
