true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0
affirm,0,30,0,0,0,0,1,0,33,0,0,0,1,0,0
bye,0,0,24,0,0,0,0,0,16,0,0,0,0,0,0
confirm,0,0,0,31,0,0,2,0,1,0,1,0,0,0,0
deny,0,0,0,0,1,0,0,0,14,0,1,0,0,0,0
hello,0,0,0,0,0,29,1,0,2,0,0,0,0,0,0
inform,0,0,0,1,0,0,1303,0,189,0,18,0,9,0,1
negate,0,0,2,0,0,0,0,33,0,0,2,0,0,0,0
null,0,0,0,0,0,0,17,0,49,0,3,0,4,1,0
repeat,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0
reqalts,1,0,0,1,0,0,14,1,3,0,611,0,2,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
request,1,0,0,4,0,0,97,1,18,0,4,0,1088,0,0
restart,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
thankyou,0,0,3,0,0,0,0,0,0,0,0,0,0,0,155
