true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
affirm,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0
bye,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
confirm,0,0,0,21,0,0,0,0,0,0,0,0,2,0,0
deny,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0
inform,1,2,0,4,0,0,1365,0,12,0,10,0,3,0,1
negate,0,0,1,0,0,0,0,62,0,0,0,0,0,0,0
null,1,0,0,1,1,0,1,0,227,0,2,0,3,0,0
repeat,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
reqalts,0,0,0,1,0,0,6,0,1,0,235,1,1,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
request,0,0,0,0,0,0,2,0,2,0,1,0,928,0,1
restart,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487
