true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
affirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inform,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
negate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reqalts,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
request,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
restart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
