true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,request,restart,thankyou
ack,0,0,0,0,0,0,1,0,4,0,0,2,0,0
affirm,0,61,0,0,0,0,2,0,0,0,0,2,0,0
bye,0,0,33,0,0,5,0,0,1,0,0,0,0,1
confirm,0,0,0,34,0,0,0,0,1,0,0,0,0,0
deny,0,0,0,0,1,0,1,14,0,0,0,0,0,0
hello,0,0,0,0,0,30,2,0,0,0,0,0,0,0
inform,1,0,1,2,0,0,1490,0,7,0,16,3,0,1
negate,0,0,1,0,0,0,0,36,0,0,0,0,0,0
null,1,1,0,1,0,0,19,2,41,1,1,1,0,6
repeat,0,0,0,0,0,0,0,0,5,6,0,0,0,0
reqalts,0,0,0,0,0,0,5,1,2,0,624,1,0,0
request,0,0,0,3,0,0,100,1,0,0,1,1108,0,0
restart,0,0,0,0,0,0,0,0,0,0,0,0,3,0
thankyou,0,0,4,0,0,0,0,0,0,0,0,0,0,154
