true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
affirm,0,169,0,0,0,0,1,0,0,0,0,0,0,0,0
bye,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2
confirm,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
deny,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
inform,0,2,0,3,0,0,1373,0,4,0,11,0,4,0,1
negate,0,0,1,0,0,0,0,62,0,0,0,0,0,0,0
null,1,0,0,0,1,0,10,0,220,1,3,0,0,0,0
repeat,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
reqalts,1,0,0,0,0,0,4,0,2,1,236,0,1,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
request,0,0,0,0,0,0,1,0,1,0,0,0,932,0,0
restart,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,1,0,486
