true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,request,restart,thankyou
ack,1,0,0,0,0,0,0,0,5,0,0,1,0,0
affirm,0,59,0,0,0,0,3,0,1,0,0,2,0,0
bye,0,0,21,0,0,0,0,0,1,0,0,0,0,18
confirm,0,1,0,31,0,0,2,0,1,0,0,0,0,0
deny,0,14,0,0,1,0,1,0,0,0,0,0,0,0
hello,0,0,0,0,0,29,3,0,0,0,0,0,0,0
inform,0,0,0,2,0,0,1495,0,11,0,11,1,0,1
negate,0,1,1,0,0,0,2,32,0,0,1,0,0,0
null,1,0,0,0,0,1,22,1,44,0,1,1,0,3
repeat,1,0,0,0,0,0,0,0,10,0,0,0,0,0
reqalts,0,0,0,0,0,0,8,1,2,0,622,0,0,0
request,0,0,0,2,0,0,98,1,1,0,1,1110,0,0
restart,0,0,0,0,0,0,0,0,3,0,0,0,0,0
thankyou,0,3,3,0,0,0,0,0,0,0,0,0,0,152
