true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
affirm,0,169,0,0,0,0,1,0,0,0,0,0,0,0,0
bye,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2
confirm,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
deny,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0
inform,0,2,0,3,0,0,1372,0,3,0,11,0,6,0,1
negate,0,0,1,0,0,0,1,61,0,0,0,0,0,0,0
null,0,0,0,0,1,0,12,0,217,0,3,0,3,0,0
repeat,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
reqalts,2,0,0,0,0,0,4,0,1,0,237,0,1,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
request,0,0,0,1,0,0,0,0,0,0,0,0,933,0,0
restart,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,1,0,486
