true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,0,0,0,0,0,0,0,0,1,0,0,0,5,0,1
affirm,0,2,0,0,0,0,59,0,1,0,0,0,3,0,0
bye,0,0,0,0,0,0,1,0,0,0,0,0,0,0,39
confirm,0,0,0,0,0,0,19,0,0,0,1,0,15,0,0
deny,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,0,8,0,24,0,0,0,0,0,0
inform,0,0,0,0,0,0,1493,0,2,0,20,0,6,0,0
negate,0,0,0,0,0,0,18,7,1,0,2,0,0,0,9
null,0,0,0,0,0,0,55,0,4,0,3,0,10,0,2
repeat,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0
reqalts,0,0,0,0,0,0,22,0,0,0,607,0,4,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
request,0,0,0,0,0,0,34,0,0,0,2,0,1177,0,0
restart,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
