true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
affirm,0,153,0,0,0,0,16,0,0,0,0,0,1,0,0
bye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
confirm,0,0,0,1,0,0,13,0,0,0,1,0,8,0,0
deny,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,3,8,0,2,0,0,0,0,0,0
inform,0,0,0,0,0,0,1366,0,1,0,21,0,9,0,1
negate,0,0,0,0,0,0,15,43,0,0,1,0,0,0,4
null,0,0,0,0,0,0,28,0,184,0,6,0,18,0,0
repeat,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
reqalts,0,0,0,0,0,0,10,0,0,0,229,0,6,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
request,0,0,0,0,0,0,7,0,0,0,1,0,926,0,0
restart,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
thankyou,0,0,0,0,0,0,0,0,0,0,0,0,1,0,486
