true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,request,restart,thankyou
ack,5,0,0,0,0,0,1,0,0,0,0,1,0,0
affirm,0,27,0,0,0,0,37,0,0,0,0,1,0,0
bye,32,0,0,0,0,0,7,0,0,0,0,0,0,1
confirm,2,0,0,29,0,0,2,0,0,0,2,0,0,0
deny,0,0,0,0,16,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,30,2,0,0,0,0,0,0,0
inform,6,0,0,0,14,0,1414,3,45,0,18,21,0,0
negate,0,0,0,0,0,0,0,28,0,0,0,0,0,9
null,1,0,0,0,0,1,56,0,9,1,3,3,0,0
repeat,1,0,0,0,0,0,4,0,0,6,0,0,0,0
reqalts,4,0,0,0,0,0,11,2,0,0,612,4,0,0
request,23,0,0,26,0,0,200,1,3,1,15,943,0,1
restart,1,0,0,0,0,0,0,0,0,0,0,0,2,0
thankyou,12,0,0,0,0,0,0,0,0,0,0,0,0,146
