true_label,ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
ack,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
affirm,0,141,0,0,0,0,28,0,0,0,0,0,1,0,0
bye,4,0,1,0,0,0,6,0,0,0,0,0,0,0,5
confirm,0,0,0,21,0,0,0,0,0,0,2,0,0,0,0
deny,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
hello,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
inform,7,2,0,0,147,0,1186,5,18,0,12,0,21,0,0
negate,0,0,0,0,1,0,0,58,0,0,0,0,0,0,4
null,6,0,0,1,2,0,53,0,168,0,3,0,3,0,0
repeat,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0
reqalts,6,0,0,0,1,0,47,1,0,0,187,1,2,0,0
reqmore,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
request,24,0,0,23,0,0,96,0,0,1,6,0,783,0,1
restart,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
thankyou,12,0,0,0,0,0,0,0,0,0,0,0,0,0,475
